RANGE                                  SIZE  STATE REMOVABLE     BLOCK
0x0000000f18000000-0x0000000f2fffffff  384M online        no   483-485
0x0000000f30000000-0x0000000f47ffffff  384M online       yes   486-488
0x0000000f48000000-0x0000000f5fffffff  384M online        no   489-491
0x0000000f60000000-0x0000000f6fffffff  256M online       yes   492-493
0x0000000f70000000-0x0000000f8fffffff  512M online        no   494-497
0x0000000f90000000-0x0000000f9fffffff  256M online       yes   498-499
0x0000000fa0000000-0x0000000fa7ffffff  128M online        no       500
0x0000000fa8000000-0x0000000fafffffff  128M online       yes       501
0x0000000fb0000000-0x0000000fc7ffffff  384M online        no   502-504
0x0000000fc8000000-0x0000000fcfffffff  128M online       yes       505
0x0000000fd0000000-0x0000001087ffffff  2.9G online        no   506-528
0x0000001088000000-0x0000001677ffffff 23.8G online       yes   529-718
0x0000001678000000-0x000000167fffffff  128M online        no       719
0x0000001680000000-0x00000016d7ffffff  1.4G online       yes   720-730
0x00000016d8000000-0x00000016dfffffff  128M online        no       731
0x00000016e0000000-0x00000016efffffff  256M online       yes   732-733
0x00000016f0000000-0x00000016f7ffffff  128M online        no       734
0x00000016f8000000-0x00000016ffffffff  128M online       yes       735
0x0000001700000000-0x000000170fffffff  256M online        no   736-737
0x0000001710000000-0x0000001737ffffff  640M online       yes   738-742
0x0000001738000000-0x000000173fffffff  128M online        no       743
0x0000001740000000-0x000000175fffffff  512M online       yes   744-747
0x0000001760000000-0x000000176fffffff  256M online        no   748-749
0x0000001770000000-0x000000177fffffff  256M online       yes   750-751
0x0000001780000000-0x000000179fffffff  512M online        no   752-755
0x00000017a0000000-0x00000017b7ffffff  384M online       yes   756-758
0x00000017b8000000-0x00000017cfffffff  384M online        no   759-761
0x00000017d0000000-0x00000017e7ffffff  384M online       yes   762-764
0x00000017e8000000-0x00000017ffffffff  384M online        no   765-767
0x0000001800000000-0x0000001817ffffff  384M online       yes   768-770
0x0000001818000000-0x000000182fffffff  384M online        no   771-773
0x0000001830000000-0x000000183fffffff  256M online       yes   774-775
0x0000001840000000-0x0000001887ffffff  1.1G online        no   776-784
0x0000001888000000-0x0000001e57ffffff 23.3G online       yes   785-970
0x0000001e58000000-0x0000001e5fffffff  128M online        no       971
0x0000001e60000000-0x0000001e87ffffff  640M online       yes   972-976
0x0000001e88000000-0x0000001e8fffffff  128M online        no       977
0x0000001e90000000-0x0000001eafffffff  512M online       yes   978-981
0x0000001eb0000000-0x0000001ebfffffff  256M online        no   982-983
0x0000001ec0000000-0x0000001edfffffff  512M online       yes   984-987
0x0000001ee0000000-0x0000001eefffffff  256M online        no   988-989
0x0000001ef0000000-0x0000001f0fffffff  512M online       yes   990-993
0x0000001f10000000-0x0000001f1fffffff  256M online        no   994-995
0x0000001f20000000-0x0000001f37ffffff  384M online       yes   996-998
0x0000001f38000000-0x0000001f4fffffff  384M online        no  999-1001
0x0000001f50000000-0x0000001f67ffffff  384M online       yes 1002-1004
0x0000001f68000000-0x0000001f7fffffff  384M online        no 1005-1007
0x0000001f80000000-0x0000001f97ffffff  384M online       yes 1008-1010
0x0000001f98000000-0x0000001fafffffff  384M online        no 1011-1013
0x0000001fb0000000-0x0000001fbfffffff  256M online       yes 1014-1015
0x0000001fc0000000-0x0000001fdfffffff  512M online        no 1016-1019
0x0000001fe0000000-0x0000001ff7ffffff  384M online       yes 1020-1022
0x0000001ff8000000-0x000000200fffffff  384M online        no 1023-1025
0x0000002010000000-0x0000002017ffffff  128M online       yes      1026
0x0000002018000000-0x000000203fffffff  640M online        no 1027-1031
0x0000002040000000-0x0000002047ffffff  128M online       yes      1032
0x0000002048000000-0x0000002087ffffff    1G online        no 1033-1040
0x0000002088000000-0x0000002487ffffff   16G online       yes 1041-1168
0x0000002488000000-0x000000248fffffff  128M online        no      1169
0x0000002490000000-0x00000024dfffffff  1.3G online       yes 1170-1179
0x00000024e0000000-0x00000024e7ffffff  128M online        no      1180
0x00000024e8000000-0x0000002517ffffff  768M online       yes 1181-1186
0x0000002518000000-0x000000251fffffff  128M online        no      1187
0x0000002520000000-0x0000002547ffffff  640M online       yes 1188-1192
0x0000002548000000-0x000000254fffffff  128M online        no      1193
0x0000002550000000-0x0000002577ffffff  640M online       yes 1194-1198
0x0000002578000000-0x000000257fffffff  128M online        no      1199
0x0000002580000000-0x0000002597ffffff  384M online       yes 1200-1202
0x0000002598000000-0x00000025afffffff  384M online        no 1203-1205
0x00000025b0000000-0x00000025cfffffff  512M online       yes 1206-1209
0x00000025d0000000-0x00000025d7ffffff  128M online        no      1210
0x00000025d8000000-0x000000261fffffff  1.1G online       yes 1211-1219
0x0000002620000000-0x0000002627ffffff  128M online        no      1220
0x0000002628000000-0x0000002637ffffff  256M online       yes 1221-1222
0x0000002638000000-0x000000263fffffff  128M online        no      1223
0x0000002640000000-0x0000002647ffffff  128M online       yes      1224
0x0000002648000000-0x0000002657ffffff  256M online        no 1225-1226
0x0000002658000000-0x0000002677ffffff  512M online       yes 1227-1230
0x0000002678000000-0x000000268fffffff  384M online        no 1231-1233
0x0000002690000000-0x0000002697ffffff  128M online       yes      1234
0x0000002698000000-0x000000269fffffff  128M online        no      1235
0x00000026a0000000-0x00000026a7ffffff  128M online       yes      1236
0x00000026a8000000-0x00000026afffffff  128M online        no      1237
0x00000026b0000000-0x00000026c7ffffff  384M online       yes 1238-1240
0x00000026c8000000-0x00000026cfffffff  128M online        no      1241
0x00000026d0000000-0x00000026dfffffff  256M online       yes 1242-1243
0x00000026e0000000-0x00000026e7ffffff  128M online        no      1244
0x00000026e8000000-0x00000026f7ffffff  256M online       yes 1245-1246
0x00000026f8000000-0x00000026ffffffff  128M online        no      1247
0x0000002700000000-0x0000002717ffffff  384M online       yes 1248-1250
0x0000002718000000-0x000000272fffffff  384M online        no 1251-1253
0x0000002730000000-0x0000002737ffffff  128M online       yes      1254
0x0000002738000000-0x000000273fffffff  128M online        no      1255
0x0000002740000000-0x0000002747ffffff  128M online       yes      1256
0x0000002748000000-0x000000275fffffff  384M online        no 1257-1259
0x0000002760000000-0x0000002777ffffff  384M online       yes 1260-1262
0x0000002778000000-0x000000278fffffff  384M online        no 1263-1265
0x0000002790000000-0x000000279fffffff  256M online       yes 1266-1267
0x00000027a0000000-0x00000027bfffffff  512M online        no 1268-1271
0x00000027c0000000-0x00000027cfffffff  256M online       yes 1272-1273
0x00000027d0000000-0x0000002827ffffff  1.4G online        no 1274-1284
0x0000002828000000-0x000000282fffffff  128M online       yes      1285
0x0000002830000000-0x000000284fffffff  512M online        no 1286-1289
0x0000002850000000-0x0000002857ffffff  128M online       yes      1290
0x0000002858000000-0x000000288fffffff  896M online        no 1291-1297
0x0000002890000000-0x00000028a7ffffff  384M online       yes 1298-1300
0x00000028a8000000-0x00000028afffffff  128M online        no      1301
0x00000028b0000000-0x00000028cfffffff  512M online       yes 1302-1305
0x00000028d0000000-0x00000028dfffffff  256M online        no 1306-1307
0x00000028e0000000-0x00000028f7ffffff  384M online       yes 1308-1310
0x00000028f8000000-0x00000028ffffffff  128M online        no      1311
0x0000002900000000-0x0000002907ffffff  128M online       yes      1312
0x0000002908000000-0x000000290fffffff  128M online        no      1313
0x0000002910000000-0x0000002917ffffff  128M online       yes      1314
0x0000002918000000-0x000000291fffffff  128M online        no      1315
0x0000002920000000-0x000000292fffffff  256M online       yes 1316-1317
0x0000002930000000-0x0000002937ffffff  128M online        no      1318
0x0000002938000000-0x000000293fffffff  128M online       yes      1319
0x0000002940000000-0x0000002947ffffff  128M online        no      1320
0x0000002948000000-0x000000295fffffff  384M online       yes 1321-1323
0x0000002960000000-0x0000002967ffffff  128M online        no      1324
0x0000002968000000-0x0000002977ffffff  256M online       yes 1325-1326
0x0000002978000000-0x000000297fffffff  128M online        no      1327
0x0000002980000000-0x000000299fffffff  512M online       yes 1328-1331
0x00000029a0000000-0x00000029a7ffffff  128M online        no      1332
0x00000029a8000000-0x00000029afffffff  128M online       yes      1333
0x00000029b0000000-0x00000029b7ffffff  128M online        no      1334
